,Incident Name,County,Administrative Unit,Acres Burned,Crews Involved,Dozers,Engines,Fatalities,Helicopters,Injuries,Personnel Involved,Structures Damaged,Structures Destroyed,Structures Threatened,Water Tenders,Fire Started,Fire Extinguished,Longitude,Latitude,Incident ID
61,McGanney Fire,Yuba,CAL FIRE Nevada-Placer-Yuba Unit,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-07-08T09:59:00Z,2013-07-08T17:30:00Z,-121.31634,39.206,397ed8e6-6088-4e03-9316-8f50c65a83be
62,Kyburz Fire,El Dorado,Eldorado National Forest,572.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-07-08T12:45:00Z,2013-07-11T18:30:00Z,-120.298,38.774,d778a3f0-2d23-43c1-b9bc-1ea33898fab2
63,Fiddler Fire,Shasta,CAL FIRE Shasta-Trinity Unit,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-07-09T11:59:00Z,2013-07-09T15:00:00Z,-122.7338,40.373,3f64fc8a-8870-4e64-b60a-3e13c8532acd
64,Uvas Fire,Santa Clara,CAL FIRE Santa Clara Unit,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-07-12T13:09:00Z,2013-07-12T17:45:00Z,-121.7804,37.1438,e779a754-29fd-472f-8d29-46cfee32d3c2
65,Diablo Fire,Stanislaus,CAL FIRE Santa Clara Unit,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-07-12T15:35:00Z,2013-07-13T21:45:00Z,-121.1955,37.436,873074c8-4b6d-417b-a78c-1d1430027805
66,Mountain Fire,Riverside,CAL FIRE Riverside Unit / San Bernardino National Forest,27531.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-07-15T13:43:00Z,2013-07-30T18:00:00Z,-116.72885,33.7095,a3149fec-4d48-427c-8b2c-59e8b79d59db
67,Redlands Fire,Riverside,CAL FIRE / Riverside County Fire,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-07-16T17:48:00Z,2013-07-17T07:45:00Z,-117.164997,33.990128,d48a839f-d8da-44d7-9b35-b9f61aa28c61
68,Rancho Fire,Kern,CAL FIRE / Kern County Fire / State Parks / US Forest Service,500.0,20.0,20.0,37.0,0.0,20.0,5.0,502.0,0.0,0.0,0.0,20.0,2013-07-19T12:00:00Z,2013-07-22T18:45:00Z,-118.9194,34.882,591a56a5-e9c0-45a0-96bd-34098588c39b
69,Paskenta Fire,Tehama,CAL FIRE Tehama-Glenn Unit,195.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-07-19T13:32:00Z,2013-07-19T15:00:00Z,-122.330879,39.961309,4423899b-6197-4ef5-9f73-bca1763f17e6
70,50 Fire,"El Dorado, Sacramento",CAL FIRE / Sacramento Metropolitan Fire,163.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-07-19T14:12:00Z,2013-07-19T17:15:00Z,-121.08438,38.63987,4630e9ce-88ec-4159-9bc9-25ff5f8216cc
71,Heacock Fire,Riverside,CAL FIRE / Riverside County Fire,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-07-19T16:21:00Z,2013-07-20T19:30:00Z,-117.2508,33.9634,8fb3a438-3146-4b8d-8f20-bfa8d6610f84
72,Gilman Fire,Riverside,CAL FIRE / Riverside County Fire,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-07-19T17:31:00Z,2013-07-19T19:30:00Z,-117.09306,33.94528,2b300dd5-4474-4b8a-9b4c-3a3014afe27d
73,Chuckwagon Fire,Calaveras,CAL FIRE Tuolumne-Calaveras Unit,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-07-22T12:34:00Z,2013-07-23T15:10:00Z,-120.696362,37.965364,68dadbb3-6a63-483a-add9-491a69d9e0ad
